Flight No.,Date,Time,Version Booster,Launch Site,Payload,Payload Mass,Orbit,Customer,Launch Outcome,Booster Landing
14,"10 January 2015,",09:47,F9 v1.1B1012[8],"Cape Canaveral,LC-40",SpaceX CRS-5[68](Dragon C107),395 kg,LEO (ISS),NASA (CRS),Success[70],Failure (drone ship)
15,"11 February 2015,",23:03,F9 v1.1B1013[8],"Cape Canaveral,LC-40",DSCOVR[68][73],570 kg,HEO(Sun–Earth L1 insertion),USAF NASA NOAA,Success,Controlled(ocean)[d]
16,"2 March 2015,",03:50,F9 v1.1B1014[8],"Cape Canaveral,LC-40",ABS-3A Eutelsat 115 West B[68],159 kg,GTO,ABS Eutelsat,Success,No attempt[77]
17,"14 April 2015,",20:10,F9 v1.1B1015[8],"Cape Canaveral,LC-40",SpaceX CRS-6[68](Dragon C108.1),898 kg,LEO (ISS),NASA (CRS),Success,Failure[83](drone ship)
18,"27 April 2015,",23:03,F9 v1.1B1016[8],"Cape Canaveral,LC-40",TürkmenÄlem 52°E / MonacoSAT[68][87],707 kg,GTO,Turkmenistan NationalSpace Agency[88],Success,No attempt[89]
19,"28 June 2015,",14:21,F9 v1.1B1018[8],"Cape Canaveral,LC-40",SpaceX CRS-7[68](Dragon C109),952 kg,LEO (ISS),NASA (CRS),Failure[93](in flight),Precluded[94](drone ship)
20,"22 December 2015,",01:29,F9 FTB1019.1[98],"Cape Canaveral,LC-40",Orbcomm-OG2-2(11 satellites)[22][97],034 kg,LEO,Orbcomm,Success,Success[99](ground pad)
21,"17 January 2016,",18:42,F9 v1.1B1017[8],"VAFB,SLC-4E",Jason-3[68][104],553 kg,LEO,NASA (LSP) NOAA CNES,Success,Failure(drone ship)
22,"4 March 2016,",23:35,F9 FTB1020.1[108],"Cape Canaveral,LC-40",SES-9[68][109][110],271 kg,GTO,SES,Success,Failure(drone ship)
23,"8 April 2016,",20:43,F9 FTB1021.1[115],"Cape Canaveral,LC-40",SpaceX CRS-8[68][110](Dragon C110.1),136 kg,LEO (ISS),NASA (CRS),Success[117],Success[118](drone ship)
24,"6 May 2016,",05:21,F9 FTB1022.1[122],"Cape Canaveral,LC-40",JCSAT-14[123],696 kg,GTO,SKY Perfect JSAT Group,Success,Success(drone ship)
25,"27 May 2016,",21:39,F9 FTB1023.1[129],"Cape Canaveral,LC-40",Thaicom 8[130][131],100 kg,GTO,Thaicom,Success,Success[133](drone ship)
26,"15 June 2016,",14:29,F9 FTB1024.1[108],"Cape Canaveral,LC-40",ABS-2A Eutelsat 117 West B[68],600 kg,GTO,ABS Eutelsat,Success,Failure[64](drone ship)
27,"18 July 2016,",04:45,F9 FTB1025.1[129],"Cape Canaveral,LC-40",SpaceX CRS-9[68][141](Dragon C111.1),257 kg,LEO (ISS),NASA (CRS),Success,Success(ground pad)
28,"14 August 2016,",05:26,F9 FTB1026.1[108],"Cape Canaveral,LC-40",JCSAT-16,600 kg,GTO,SKY Perfect JSAT Group,Success,Success(drone ship)
N/A [e],"3 September 2016,",07:00,F9 FTB1028.1[108],"Cape Canaveral,LC-40",Amos-6[146],500 kg,GTO,Spacecom,Precluded(failure pre-flight),Precluded(drone ship)
29,"14 January 2017,",17:54,F9 FTB1029.1[151],"VAFB,SLC-4E",Iridium NEXT-1(10 satellites)[152][153],600 kg,Polar LEO,Iridium Communications,Success,Success[154](drone ship)
30,"19 February 2017,",14:39,F9 FTB1031.1[8],"KSC,LC-39A",SpaceX CRS-10[141](Dragon C112.1),490 kg,LEO (ISS),NASA (CRS),Success,Success(ground pad)
31,"16 March 2017,",06:00,F9 FTB1030.1[163],"KSC,LC-39A",EchoStar 23,600 kg,GTO,EchoStar,Success,No attempt[165]
32,"30 March 2017,",22:27,F9 FT♺B1021.2[115],"KSC,LC-39A",SES-10[109][168],300 kg,GTO,SES,Success[170],Success(drone ship)
33,"1 May 2017,",11:15,F9 FTB1032.1[129],"KSC,LC-39A",NROL-76[174],0 kg,LEO[175],NRO,Success,Success(ground pad)
34,"15 May 2017,",23:21,F9 FTB1034.1[179],"KSC,LC-39A",Inmarsat-5 F4[180],070 kg,GTO,Inmarsat,Success,No attempt[165]
35,"3 June 2017,",21:07,F9 FTB1035.1[185],"KSC,LC-39A",SpaceX CRS-11[141](Dragon C106.2 ♺),708 kg,LEO (ISS),NASA (CRS),Success,Success(ground pad)
36,"23 June 2017,",19:10,F9 FT♺B1029.2[195],"KSC,LC-39A",BulgariaSat-1[196],669 kg,GTO,Bulsatcom,Success,Success(drone ship)
37,"25 June 2017,",20:25,F9 FTB1036.1[198],"VAFB,SLC-4E",Iridium NEXT-2(10 satellites),600 kg,LEO,Iridium Communications,Success,Success(drone ship)
38,"5 July 2017,",23:38,F9 FTB1037.1[200],"KSC,LC-39A",Intelsat 35e[201],761 kg,GTO,Intelsat,Success,No attempt[165]
39,"14 August 2017,",16:31,F9 B4B1039.1[207],"KSC,LC-39A",SpaceX CRS-12[141](Dragon C113.1),310 kg,LEO (ISS),NASA (CRS),Success,Success(ground pad)
40,"24 August 2017,",18:51,F9 FTB1038.1[209],"VAFB,SLC-4E",Formosat-5[210][211],475 kg,SSO,NSPO,Success,Success(drone ship)
41,"7 September 2017,",14:00,F9 B4B1040.1[108],"KSC,LC-39A",Boeing X-37B OTV-5,990 kg,LEO,USAF,Success,Success(ground pad)
42,"9 October 2017,",12:37,F9 B4B1041.1[219],"VAFB,SLC-4E",Iridium NEXT-3(10 satellites)[152],600 kg,Polar LEO,Iridium Communications,Success,Success(drone ship)
43,"11 October 2017,",22:53:00,F9 FT♺B1031.2[220],"KSC,LC-39A",SES-11 / EchoStar 105,200 kg,GTO,SES S.A. EchoStar,Success,Success(drone ship)
44,"30 October 2017,",19:34,F9 B4B1042.1[219],"KSC,LC-39A",Koreasat 5A[222],500 kg,GTO,KT Corporation,Success,Success(drone ship)
45,"15 December 2017,",15:36,F9 FT♺B1035.2[227],"Cape Canaveral,SLC-40",SpaceX CRS-13[141](Dragon C108.2 ♺),205 kg,LEO (ISS),NASA (CRS),Success,Success(ground pad)
46,"23 December 2017,",01:27,F9 FT♺B1036.2[227],"VAFB,SLC-4E",Iridium NEXT-4(10 satellites)[152],600 kg,Polar LEO,Iridium Communications,Success[230],Controlled(ocean)[d][230]
47,"8 January 2018,",01:00,F9 B4B1043.1[238],"CCAFS,SLC-40",Zuma[238][239][240],0 kg,LEO,Northrop Grumman [f][238],Success[241],Success(ground pad)
48,"31 January 2018,",21:25,F9 FT♺B1032.2[245],"CCAFS,SLC-40",GovSat-1 (SES-16)[246],230 kg,GTO,SES,Success[248],Controlled(ocean)[d][248]
FH 1,"6 February 2018,",20:45,Falcon HeavyB1033.1(core)[129],"KSC,LC-39A",Elon Musk's Tesla Roadster[254][255],250 kg,Heliocentric0.99–1.67 AU[256](close to Mars transfer orbit),SpaceX,Success[257],Failure[257](drone ship)
49,"22 February 2018,",14:17,F9 FT♺B1038.2[268],"VAFB,SLC-4E",Paz[269] Tintin A and Tintin B[270],150 kg,SSO,Hisdesat exactEarth SpaceX,Success[271],No attempt[271]
50,"6 March 2018,",05:33,F9 B4B1044.1[108],"CCAFS,SLC-40",Hispasat 30W-6[277] PODSat[278],092 kg,GTO,Hispasat[277] NovaWurks,Success[280],No attempt[281]
51,"30 March 2018,",14:14,F9 B4♺B1041.2[268],"VAFB,SLC-4E",Iridium NEXT-5(10 satellites)[152],600 kg,Polar LEO,Iridium Communications,Success[286],No attempt[287]
52,"2 April 2018,",20:30,F9 B4♺B1039.2[292],"CCAFS,SLC-40",SpaceX CRS-14[141](Dragon C110.2 ♺),647 kg,LEO (ISS),NASA (CRS),Success[293],No attempt[294]
53,"18 April 2018,",22:51,F9 B4B1045.1[268],"CCAFS,SLC-40",Transiting Exoplanet Survey Satellite (TESS)[304],362 kg,HEO for P/2 orbit,NASA (LSP),Success[306],Success[306](drone ship)
54,"11 May 2018,",20:14,F9 B5[311]B1046.1[268],"KSC,LC-39A",Bangabandhu-1[312][313],600 kg,GTO,Thales-Alenia / BTRC,Success[315],Success[315](drone ship)
55,"22 May 2018,",19:47,F9 B4♺B1043.2[322],"VAFB,SLC-4E",Iridium NEXT-6(5 satellites)[152][155] GRACE-FO × 2[323][324],460 kg,Polar LEO,Iridium Communications GFZ • NASA,Success[327],No attempt[165]
56,"4 June 2018,",04:45,F9 B4♺B1040.2[268],"CCAFS,SLC-40",SES-12[331],384 kg,GTO,SES,Success[333],No attempt[165]
57,"29 June 2018,",09:42,F9 B4♺B1045.2[336],"CCAFS,SLC-40",SpaceX CRS-15(Dragon C111.2 ♺),697 kg,LEO (ISS),NASA (CRS),Success[338],No attempt[165]
58,"22 July 2018,",05:50,F9 B5B1047.1,"CCAFS,SLC-40",Telstar 19V[341],075 kg,GTO[343],Telesat,Success[344],Success[344](drone ship)
59,"25 July 2018,",11:39,F9 B5[349]B1048.1[350],"VAFB,SLC-4E",Iridium NEXT-7(10 satellites)[152],600 kg,Polar LEO,Iridium Communications,Success[351],Success[352](drone ship)
60,"7 August 2018,",05:18,F9 B5♺B1046.2[354],"CCAFS,SLC-40",Merah Putih (formerly Telkom 4)[355][356],800 kg,GTO,Telkom Indonesia,Success[358],Success[358](drone ship)
61,"10 September 2018,",04:45,F9 B5B1049.1[268],"CCAFS,SLC-40",Telstar 18V / Apstar-5C[341],060 kg,GTO[361],Telesat,Success[361],Success[361](drone ship)
62,"8 October 2018,",02:22,F9 B5♺B1048.2[364],"VAFB,SLC-4E",SAOCOM 1A[365][366],000 kg,SSO,CONAE,Success[363],Success[363](ground pad)
63,"15 November 2018,",20:46,F9 B5♺B1047.2[268],"KSC,LC-39A",Es'hail 2[368],300 kg,GTO,Es'hailSat,Success[370],Success[370](drone ship)
64,"3 December 2018,",18:34:05,F9 B5♺B1046.3[268]SHERPA,"VAFB,SLC-4E",SSO-A (SmallSat Express),000 kg,SSO,Spaceflight Industries,Success[373],Success[373](drone ship)
65,"5 December 2018,",18:16,F9 B5B1050[268],"CCAFS,SLC-40",SpaceX CRS-16(Dragon C112.2♺ ),500 kg,LEO (ISS),NASA (CRS),Success,Failure[383](ground pad)
66,"23 December 2018,",13:51,F9 B5B1054[387],"CCAFS,SLC-40",GPS III-01 (Vespucci),400 kg,MEO,USAF,Success[386],No attempt[386]
67,"11 January 2019,",15:31,F9 B5♺B1049.2[397],"VAFB,SLC-4E",Iridium NEXT-8(10 satellites)[152],600 kg,Polar LEO,Iridium Communications,Success,Success(drone ship)
68,"22 February 2019,",01:45,F9 B5♺B1048.3[399],"CCAFS,SLC-40",Nusantara Satu (PSN-6)[400] Beresheet Moon lander[401] S5[402],850 kg,GTO,PSN SpaceIL / IAI Air Force Research,Success,Success(drone ship)
69,"2 March 2019,",07:49,F9 B5B1051.1[268][413],"KSC,LC-39A",Crew Dragon Demo-1[414](Dragon C201),055 kg,LEO (ISS),NASA (CCD),Success,Success(drone ship)
FH 2,"11 April 2019,",22:35,Falcon HeavyB1055 core[421],"KSC,LC-39A",Arabsat-6A[422],465 kg,GTO,Arabsat,Success,Success[i](drone ship)
70,"4 May 2019,",06:48,F9 B5B1056.1[420],"CCAFS,SLC-40",SpaceX CRS-17[141](Dragon C113.2 ♺),495 kg,LEO (ISS),NASA (CRS),Success,Success(drone ship)
71,"24 May 2019,",02:30,F9 B5♺B1049.3[434],"CCAFS,SLC-40",Starlink v0.9 (60 satellites),620 kg,LEO,SpaceX,Success,Success(drone ship)
72,"12 June 2019,",14:17,F9 B5♺B1051.2[420],"VAFB,SLC-4E",RADARSAT Constellation(3 satellites),200 kg,SSO,Canadian Space Agency (CSA),Success,Success(ground pad)
FH 3,"25 June 2019,",06:30,Falcon HeavyB1057 core[420],"KSC,LC-39A",Space Test Program Flight 2 (STP-2),700 kg,LEO / MEO,USAF,Success,Failure(drone ship)
73,"25 July 2019,",22:01,F9 B5♺B1056.2[465],CCAFSSLC-40,SpaceX CRS-18[141](Dragon C108.3 ♺),268 kg,LEO (ISS),NASA (CRS),Success,Success(ground pad)
74,"6 August 2019,",23:23,F9 B5♺B1047.3[472],"CCAFS,SLC-40",AMOS-17[473],500 kg,GTO,Spacecom,Success,No attempt[474]
75,"11 November 2019,",14:56,F9 B5♺B1048.4,"CCAFS,SLC-40",Starlink 1 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Success(drone ship)
76,"5 December 2019,",17:29,F9 B5B1059.1[482],"CCAFS,SLC-40",SpaceX CRS-19[483](Dragon C106.3 ♺),617 kg,LEO (ISS),NASA (CRS),Success,Success(drone ship)
77,"17 December 2019,",00:10,F9 B5♺B1056.3[482],"CCAFS,SLC-40",JCSat-18 / Kacific 1[487],956 kg,GTO,Sky Perfect JSATKacific 1,Success,Success(drone ship)
78,"7 January 2020,",02:19:21,F9 B5♺B1049.4,"CCAFS,SLC-40",Starlink 2 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Success(drone ship)
79,"19 January 2020,",15:30,F9 B5♺B1046.4,"KSC,LC-39A",Crew Dragon in-flight abort test[495](Dragon C205.1),050 kg,Sub-orbital[496],NASA (CTS)[497],Success,No attempt
80,"29 January 2020,",14:07,F9 B5♺B1051.3,"CCAFS,SLC-40",Starlink 3 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Success(drone ship)
81,"17 February 2020,",15:05,F9 B5♺B1056.4,"CCAFS,SLC-40",Starlink 4 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Failure(drone ship)
82,"7 March 2020,",04:50,F9 B5♺B1059.2,"CCAFS,SLC-40",SpaceX CRS-20(Dragon C112.3 ♺),977 kg,LEO (ISS),NASA (CRS),Success,Success(ground pad)
83,"18 March 2020,",12:16,F9 B5♺B1048.5,"KSC,LC-39A",Starlink 5 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Failure(drone ship)
84,"22 April 2020,",19:30,F9 B5♺B1051.4,"KSC,LC-39A",Starlink 6 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Success(drone ship)
85,"30 May 2020,",19:22,F9 B5B1058.1[518],"KSC,LC-39A",Crew Dragon Demo-2[414](Crew Dragon C206.1 Endeavour),530 kg,LEO (ISS),NASA (CCDev),Success,Success(drone ship)
86,"4 June 2020,",01:25,F9 B5♺B1049.5,"CCAFS,SLC-40",Starlink 7 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Success(drone ship)
87,"13 June 2020,",09:21,F9 B5♺B1059.3,"CCAFS,SLC-40","Starlink 8 v1.0 (58 satellites),[524][525]SkySats-16, -17, -18",410 kg,LEO,SpaceXPlanet Labs,Success,Success(drone ship)
88,"30 June 2020,",20:10:46,F9 B5B1060.1,"CCAFS,SLC-40",GPS III-03 (Matthew Henson),311 kg,MEO,U.S. Space Force[530],Success,Success(drone ship)
89,"20 July 2020,",21:30,F9 B5♺B1058.2[544],"CCAFS,SLC-40",ANASIS-II,000 kg,GTO,Republic of Korea Army,Success,Success(drone ship)
90,"7 August 2020,",05:12,F9 B5♺B1051.5,"KSC,LC-39A","Starlink 9 v1.0 (57 Satellites),[524]SXRS-1 (BlackSky Global 7 and 8)",932 kg,LEO,SpaceXSpaceflight Industries (BlackSky),Success,Success(drone ship)
91,18 August 2020,14:31,F9 B5♺B1049.6[544],"CCAFS,SLC-40","Starlink 10 v1.0 (58 satellites)SkySat-19, -20, -21",440 kg,LEO,SpaceXPlanet Labs,Success,Success(drone ship)
92,30 August 2020,23:18,F9 B5♺B1059.4,"CCAFS,SLC-40",SAOCOM 1B[556]GNOMES 1[556]Tyvak-0172[557],130 kg,SSO,CONAEPlanetIQTyvak,Success,Success(ground pad)
93,3 September 2020,12:46:14,F9 B5♺B1060.2[563],"KSC,LC-39A",Starlink 11 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Success(drone ship)
94,6 October 2020,11:29:34,F9 B5♺B1058.3[565],"KSC,LC-39A",Starlink 12 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Success(drone ship)
95,18 October 2020,12:25:57,F9 B5♺B1051.6[568],"KSC,LC-39A",Starlink 13 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Success(drone ship)
96,24 October 2020,15:31:34,F9 B5♺B1060.3,"CCAFS,SLC-40",Starlink 14 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Success(drone ship)
97,5 November 2020,23:24:23,F9 B5B1062.1,"CCAFS,SLC-40",GPS III-04 (Sacagawea)[541][573],311 kg,MEO,USSF,Success,Success(drone ship)
98,16 November 2020,00:27,F9 B5B1061.1[582],"KSC,LC-39A",Crew-1(Crew Dragon C207.1 Resilience),500 kg,LEO (ISS),NASA (CCP)[497],Success,Success(drone ship)
99,21 November 2020,17:17:08,F9 B5B1063.1,"VAFB,SLC-4E",Sentinel-6 Michael Freilich (Jason-CS A),192 kg,LEO,NASA / NOAA / ESA / EUMETSAT,Success,Success(ground pad)
100,25 November 2020,02:13,F9 B5 ♺B1049.7[590],"CCAFS,SLC-40",Starlink 15 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Success(drone ship)
101,6 December 2020,16:17:08,F9 B5 ♺B1058.4[592],"KSC,LC-39A",SpaceX CRS-21(Dragon C208.1),972 kg,LEO (ISS),NASA (CRS),Success,Success(drone ship)
102,13 December 2020,17:30:00,F9 B5 ♺B1051.7,"CCSFS,SLC-40[597]",SXM-7,000 kg,GTO,Sirius XM,Success,Success(drone ship)
103,19 December 2020,14:00:00,F9 B5 ♺B1059.5,"KSC,LC-39A",NROL-108,0 kg,LEO,NRO,Success,Success(ground pad)
104,8 January 2021,02:15,F9 B5♺B1060.4,"CCSFS,SLC-40",Türksat 5A[605],500 kg,GTO,Türksat,Success,Success(drone ship)
105,20 January 2021,13:02,F9 B5♺B1051.8[609],"KSC,LC-39A",Starlink 16 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Success(drone ship)
106,24 January 2021,15:00,F9 B5♺B1058.5[613],"CCSFS,SLC-40",Transporter-1 (143 smallsat rideshare),000 kg,SSO,Various,Success,Success(drone ship)
107,4 February 2021,06:19,F9 B5 ♺B1060.5[624],"CCSFS,SLC-40",Starlink 18 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Success(drone ship)
108,16 February 2021,03:59:37,F9 B5 ♺B1059.6,"CCSFS,SLC-40",Starlink 19 v1.0 (60 satellites)[627],600 kg,LEO,SpaceX,Success,Failure (drone ship)
109,4 March 2021,08:24,F9 B5 ♺B1049.8[634],"KSC,LC-39A",Starlink 17 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Success(drone ship)
110,11 March 2021,08:13:29,F9 B5 ♺B1058.6[638],"CCSFS,SLC-40",Starlink 20 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Success(drone ship)
111,14 March 2021,10:01,F9 B5 ♺B1051.9,"KSC,LC-39A",Starlink 21 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Success(drone ship)
112,24 March 2021,08:28,F9 B5♺B1060.6[643],"CCSFS,SLC-40",Starlink 22 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Success(drone ship)
113,7 April 2021,16:34,F9 B5 ♺B1058.7,"CCSFS,SLC-40",Starlink 23 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Success(drone ship)
114,23 April 2021,9:49,F9 B5♺B1061.2[647],"KSC,LC-39A",Crew-2(Crew Dragon C206.2 Endeavour ♺),000 kg,LEO (ISS),NASA (CTS)[497],Success,Success(drone ship)
115,29 April 2021,03:44,F9 B5♺B1060.7[652],"CCSFS,SLC-40",Starlink 24 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Success(drone ship)
116,4 May 2021,19:01,F9 B5♺B1049.9[655],"KSC,LC-39A",Starlink 25 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Success(drone ship)
117,9 May 2021,06:42,F9 B5♺B1051.10[657],"CCSFS,SLC-40",Starlink 27 v1.0 (60 satellites),600 kg,LEO,SpaceX,Success,Success(drone ship)
118,15 May 2021,22:56,F9 B5♺B1058.8[660],"KSC,LC-39A[661]",Starlink 26 v1.0 (52 Satellites) Capella-6 &Tyvak-0130[662],000 kg,LEO,SpaceX Capella Space and Tyvak,Success,Success(drone ship)
119,26 May 2021,18:59,F9 B5♺B1063.2[665],"CCSFS,SLC-40[665]",Starlink 28 v1.0 (60 Satellites)[665],600 kg,LEO,SpaceX,Success,Success(drone ship)
120,3 June 2021,17:29,F9 B5B1067.1[668],"KSC,LC-39A",SpaceX CRS-22(Dragon C209.1),328 kg,LEO (ISS),NASA (CRS),Success,Success(drone ship)
121,6 June 2021,04:26,F9 B5♺B1061.3,"CCSFS,SLC-40",SXM-8[674],000 kg,GTO,Sirius XM,Success,Success(drone ship)
